CodProvincia;CodMunicipio;CodigoPostal;Municipio
38;038;38005;Santa Cruz de Tenerife
38;038;38003;Santa Cruz de Tenerife
38;038;38002;Santa Cruz de Tenerife
38;038;38110;Santa Cruz de Tenerife
38;038;38006;Santa Cruz de Tenerife
38;039;38399;Santa Úrsula
38;039;38398;Santa Úrsula
38;039;38390;Santa Úrsula
38;040;38683;Santiago del Teide
38;040;38684;Santiago del Teide
38;040;38690;Santiago del Teide
38;041;38359;Sauzal, El
38;041;38360;Sauzal, El
38;042;38435;Silos, Los
38;042;38479;Silos, Los
38;042;38470;Silos, Los
38;042;38460;Silos, Los
38;043;38340;Tacoronte
38;043;38350;Tacoronte
38;043;38355;Tacoronte
38;043;38356;Tacoronte
38;043;38357;Tacoronte
38;043;38358;Tacoronte
38;044;38435;Tanque, El
38;045;38770;Tazacorte
38;045;38779;Tazacorte
38;046;38289;Tegueste
38;046;38292;Tegueste
38;046;38293;Tegueste
38;046;38297;Tegueste
38;046;38280;Tegueste
38;047;38780;Tijarafe
38;047;38789;Tijarafe
38;048;38915;Valverde
38;048;38916;Valverde
38;048;38900;Valverde
38;048;38910;Valverde
38;049;38852;Valle Gran Rey
38;049;38870;Valle Gran Rey
38;049;38879;Valle Gran Rey
38;049;38892;Valle Gran Rey
38;050;38891;Vallehermoso
38;050;38840;Vallehermoso
38;050;38849;Vallehermoso
38;050;38850;Vallehermoso
38;050;38852;Vallehermoso
38;050;38860;Vallehermoso
38;050;38869;Vallehermoso
38;051;38380;Victoria de Acentejo, La
38;051;38389;Victoria de Acentejo, La
38;052;38613;Vilaflor
38;052;38614;Vilaflor
38;052;38615;Vilaflor
38;052;38629;Vilaflor
38;053;38730;Villa de Mazo
38;053;38738;Villa de Mazo
38;053;38739;Villa de Mazo
38;901;38914;Pinar de El Hierro, El
38;901;38917;Pinar de El Hierro, El
